AA_CRSE;NUM_CRSE_PERM;NUM_CRSE_DIV;NUM_CRSE_DUPL;NUM_CRSE_PGM;LB_CRSE;D_REU;C_FED;N_ORD_HIP;NUM_ID_SOC;Y_CRSE;Y_QUALIF;C_PARCO;C_CRD;DIST_PARCO;C_CATEG_CRSE;C_Y_CRSE;C_Y_CRSE_2;C_Y_CRSE_3;C_Y_CRSE_4;C_Y_CRSE_5;C_DIS;C_SP;C_MEET;C_CHAL;Z_MAX_PART;Z_MIN_PART;NUM_CRSE_PMH;NUM_CRSE_PMU;H_DEB_OPER;H_DEP_CRSE;I_CND_ICPT;I_CND_VAL;C_BRME_DECL;C_DECL_MNTE;REF_CRSE_1;REF_CRSE_2;REF_CRSE_3;I_CRSE_EVT_PMU;C_PMU;C_PMH;I_ELIM_PART;C_ETAT_VAL_CRSE;D_MAJ_ETA_AVCT_CRS;Z_ENG_CRSE;Z_ENG_NUL;Z_ENG_NON_VAL;Z_ENG_SUPL;Z_FORF_1;Z_FORF_2;Z_FORF_3;Z_FORF_4;Z_FORF_5;Z_NDP;Z_ANUL_PART;Z_DECL_PART;Z_ELIM_PRIO;Z_ELIM_RETI;Z_DPNP;Z_DPNP_CF;Z_DPNP_CERTF_VETO;Z_DPNP_SJ;Z_CH_DPNP_AU;Z_CH_TOMB_HAI_ESS;C_CRI_AG;C_CRI_SEXE;C_CRI_RACE;I_CND_G_DROIT_PRIM;C_CRI_LI_NAI;C_CRI_LI;D_DEB_ENTR_CND_G;C_CRI_PROP;I_CND_G_BREE;CND_G_VALE_MIN;CND_G_VALE_MAX;C_CRI_MNTE;C_CRSE_BT;I_CND_SDC_ART_115;VAL_PX_NOMI;C_REPART_PX;I_CRSE_FC;D_PUB_PDS;HH_PUB_PDS;C_ETAT_VAL_PUB;REF_LIM;PDS_MIN_HDC;PDS_MAX_HDC;CND_P_CRI_AG_1;CND_P_VALE_PDS_1;CND_P_CRI_AG_2;CND_P_VALE_PDS_2;CND_P_CRI_AG_3;CND_P_VALE_PDS_3;I_CRSE_REPSUP;CATEG_HIPP;AUPREMIER;I_PDS_MIN;Z_ENG_SUPL_2;C_CLA_CRSE;C_M_DEPART;Z_DPNP_DEPART;Z_ENG_2;D_MAJ_TS
2007;4643;0;0;3059;PRIX PMU L'OUTSIDER-JURANCON (PX DE LA NAVARRE);20070118;05;39;516685;PA;PA;04;;3500;54;;;;;;H;O;0002;;18;1;3;8;1650;1715;N;V;100;MO;0;0;0;P;06;T;;PV;20070223;52;1;4;0;22;0;0;0;0;7;3;15;0;0;0;0;0;0;0;0;50;7;19;N;;;0;;N;0;0;;;N;28000;011;O;0;0;;0;610;0;55;650;60;670;;0;;1N;13440;;0;;;0;0;2017-02-05 01:27:42
2007;4621;0;0;3060;PRIX D'ALBRET;20070118;05;39;516685;PA;PA;12;;3400;54;01;;;;;S;O;0002;;18;1;4;3;1415;1440;N;V;100;MO;0;0;0;P;02;T;;PV;20070213;30;0;0;0;12;0;0;0;0;7;0;11;0;0;0;0;0;0;0;0;44;7;39;O;;;0;;N;0;0;;;N;32000;011;O;0;0;;0;610;0;44;660;;0;;0;;1N;15360;;0;;;0;0;2017-02-05 01:27:42
2007;4653;0;0;3061;PRIX DE LASTOURS;20070118;05;39;516685;PA;PA;12;;3400;31;;;;;;S;O;0002;;18;1;5;6;1545;1615;N;V;100;MO;0;0;0;P;02;T;;PV;20070122;21;1;1;0;3;0;0;0;0;5;0;11;0;0;0;0;0;0;0;0;44;7;19;N;;;0;;N;0;0;;;N;16000;011;O;0;0;;0;610;0;44;660;;0;;0;;1N;7680;;0;;;0;0;2017-02-05 01:27:42
2007;8021;0;0;3062;PRIX DE LALOUBERE;20070118;05;39;516685;PA;PA;20;;4000;54;;;;;;S;O;0002;;18;1;6;7;1620;1645;O;V;100;MO;0;0;0;P;02;T;;PV;20070226;30;1;1;0;13;0;0;0;0;2;2;11;0;0;2;0;2;0;0;0;55;7;39;O;;;0;;N;0;0;;;N;30000;011;O;0;0;;0;610;0;55;650;;0;;0;;1N;14400;;0;;;0;0;2017-02-05 01:27:42
2007;4685;0;0;3063;PRIX PMU BAR AUTEUIL LONGCHAMP-PAU (PX D'ASPE);20070118;05;39;516685;PA;PA;17;;3700;31;;;;;;S;O;0002;;18;1;7;2;1345;1410;N;V;100;MO;0;0;0;P;06;T;O;PV;20070312;47;0;0;0;14;0;0;0;0;12;1;18;2;0;2;0;1;0;0;0;50;7;19;N;;;0;;N;0;0;;;N;16000;011;O;0;0;;0;610;0;55;650;60;670;;0;;1N;7680;;0;;;0;0;2017-02-05 01:27:42
2007;4686;0;0;3064;PRIX JEAN ET RENE COUETIL;20070118;05;39;516685;PA;PA;31;;4100;54;;;;;;C;O;0002;;18;1;8;4;1445;1510;N;V;100;MO;0;0;0;P;02;T;;PV;20070122;24;0;2;0;5;0;0;0;0;5;0;12;0;0;1;0;0;0;0;0;56;7;19;N;;;0;;N;0;0;;;N;26000;011;O;0;0;;0;610;0;55;650;66;670;;0;;1N;12480;;0;;;0;0;2017-02-05 01:27:42
2007;95623;10;0;3014;PRIX FRANCE SOIR (EX PRIX DE CANNES);20070119;06;04;516486;PA;PA;69;G;1500;44;;;;;;P;P;0001;;18;1;1;5;1530;1600;O;V;100;MO;205;0;0;E;13;T;O;PV;20070212;61;1;2;0;14;0;0;0;0;9;5;18;7;5;0;0;0;0;0;0;44;7;11;N;;;0;;N;0;0;;;N;50000;003;O;20070113;93000;R;0;510;0;44;0;;0;;0;;1N;23500;N;0;;;0;0;2017-02-05 01:27:42
2007;15;0;0;3015;PRIX CHERET;20070119;06;04;516486;PA;PA;69;G;1500;54;02;;;;;P;P;0001;;18;1;2;1;1330;1355;N;V;100;MO;0;0;0;P;02;T;;PV;20070126;32;0;0;0;7;0;0;0;0;12;3;10;0;0;0;0;0;0;0;0;33;7;11;N;;;0;;N;0;0;;F;O;17000;002;O;0;0;;0;0;0;33;580;;0;;0;;1N;8500;;0;;;0;0;2017-02-05 01:27:42
2007;94717;0;0;3016;PRIX DES CITRONNIERS;20070119;06;04;516486;PA;PA;Z4;G;2000;31;;;;;;P;P;0001;;16;1;3;2;1400;1425;O;V;100;MO;0;0;0;P;02;T;;PV;20070607;22;0;1;0;2;0;0;0;0;6;2;11;0;0;0;0;0;0;0;0;33;3;11;N;;;0;;N;0;0;;F;O;14000;002;O;0;0;;0;0;0;33;550;;0;;0;;1N;7000;;0;;;0;0;2017-02-05 01:27:42
2007;94723;0;0;3017;PRIX DE LA VILLE DE CANNES (EX PX D'ENGHIEN);20070119;06;04;516486;PA;PA;Z0;G;1300;54;;;;;;P;P;0001;;16;1;4;4;1500;1525;O;V;100;MO;0;0;0;P;02;T;;PV;20070228;38;0;0;0;12;0;0;0;0;13;3;10;0;0;0;0;0;0;0;0;40;7;11;N;;;0;;N;0;0;;;O;18000;002;O;0;0;;0;0;0;40;560;;0;;0;;1N;9000;;0;;;0;0;2017-02-05 01:27:42
